min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
350,5,50,0.2572546442341758,37634,32395,7396,54,104253
350,9,50,0.3111715356406909,37284,33775,7390,55,104253
350,8,50,0.3189946614001463,39460,32021,7396,54,104253
350,7,50,0.2942114207987133,37585,33977,7393,52,104253
400,6,50,0.281627021704568,36864,38463,8051,44,104253
400,5,50,0.24283244519410918,39483,32478,7396,48,104253
400,9,50,0.29303041380501166,39198,33775,7390,50,104253
400,8,50,0.30886428335238963,39329,34459,7396,47,104253
400,7,50,0.29257530927592307,39470,34056,7393,46,104253
450,5,50,0.2348718659844968,40321,32478,7396,46,104253
450,9,50,0.2989213292904194,39342,34069,7390,45,104253
450,6,50,0.2774982095482704,37300,38463,8051,43,104253
450,8,50,0.30059103731826475,39656,34711,7396,44,104253
450,7,50,0.2841759151887809,39384,34294,7393,44,104253
500,5,50,0.23786606405538596,42625,33026,7396,40,104253
500,9,50,0.3019990809573131,41642,34623,7390,39,104253
500,8,50,0.30367854558576113,41960,35262,7396,38,104253
500,7,50,0.28711660433334457,41689,34843,7393,38,104253
500,6,50,0.2838340794133099,36993,42404,11448,36,104253
50,15,50,0.37906374716141267,36597,26857,7380,177,104253
50,25,50,0.24316644753682853,35565,27355,7379,162,104253
50,10,50,0.3818334103890598,34724,27740,7386,188,104253
50,10,50,0.3818334103890598,34724,27740,7386,188,104253
50,20,50,0.3476378650180107,35648,27798,7407,167,104253
60,15,50,0.3492401865350371,36191,27220,7380,146,104253
60,25,50,0.24078306483008155,35134,27446,7379,133,104253
60,10,50,0.3844220107942353,34889,27889,7386,155,104253
60,20,50,0.3417952998606042,36076,28226,7407,138,104253
60,10,50,0.3844220107942353,34889,27889,7386,155,104253
70,15,50,0.34915382594132155,35899,27220,7380,135,104253
70,20,50,0.31131753323856326,36927,26660,7407,133,104253
70,25,50,0.22822248200647327,34742,27922,7379,123,104253
70,10,50,0.343875623589445,34278,28127,7386,142,104253
70,10,50,0.343875623589445,34278,28127,7386,142,104253
80,15,50,0.34446616135694597,36420,27220,7380,128,104253
80,20,50,0.2855335793671884,36575,27204,7407,124,104253
